Recency,Frequency,Monetary,Total_Quantity,Avg_Order_Value,Purchase_Frequency,Customer_Value,Cluster
325,1,77183.6,74215,77183.6,0.0,77183.6,2
1,182,4310.0,2458,23.681318681318682,2.0054945054945055,784420.0,1
74,31,1797.24,2341,57.97548387096774,9.096774193548388,55714.44,1
18,73,1757.55,631,24.076027397260273,0.0,128301.15,1
309,17,334.4,197,19.670588235294115,0.0,5684.799999999999,1
35,85,2506.04,536,29.482823529411764,3.0588235294117645,213013.4,1
203,4,89.0,20,22.25,0.0,356.0,1
231,58,1079.4,530,18.610344827586207,0.0,62605.200000000004,1
213,13,459.4,240,35.33846153846154,0.0,5972.2,1
22,59,2811.43,1591,47.65135593220339,5.11864406779661,165874.37,1
32,131,6207.67,2708,47.38679389312977,0.0,813204.77,1
1,19,1168.06,248,61.47684210526315,7.842105263157895,22193.14,1
57,248,6372.58,1622,25.695887096774193,1.1048387096774193,1580399.84,1
51,129,2662.06,1165,20.63612403100775,1.1472868217054264,343405.74,1
286,10,189.9,91,18.990000000000002,0.0,1899.0,1
2,266,5226.23,2229,19.647481203007516,1.0977443609022557,1390177.18,1
109,23,552.0,408,24.0,5.739130434782608,12696.0,1
7,85,1313.1,1506,15.448235294117646,1.223529411764706,111613.49999999999,1
290,22,641.38,174,29.153636363636362,0.0,14110.36,1
3,11,168.9,173,15.354545454545455,0.0,1857.9,1
50,167,3545.69,2353,21.231676646706585,1.8502994011976048,592130.23,1
44,63,1887.96,591,29.96761904761905,0.2222222222222222,118941.48,1
71,52,1298.04,794,24.962307692307693,4.3076923076923075,67498.08,1
310,14,364.6,197,26.042857142857144,0.0,5104.400000000001,1
24,33,742.9300000000001,342,22.513030303030305,0.0,24516.690000000002,1
10,17,457.5,178,26.91176470588235,5.117647058823529,7777.5,1
314,77,1628.12,944,21.144415584415583,0.5064935064935064,125365.23999999999,1
129,219,4008.62,2529,18.30420091324201,0.0,877887.78,1
81,40,852.24,407,21.306,2.2,34089.6,1
21,104,2724.81,1127,26.200096153846154,1.5769230769230769,283380.24,1
4,87,1845.31,808,21.21045977011494,1.3218390804597702,160541.97,1
184,99,1850.56,1532,18.69252525252525,1.6868686868686869,183205.44,1
28,27,585.27,126,21.676666666666666,3.4074074074074074,15802.289999999999,1
337,10,401.9,354,40.19,2.9,4019.0,1
15,100,2780.66,1462,27.8066,3.11,278066.0,1
79,32,549.84,353,17.1825,0.0,17594.88,1
21,100,460.89,300,4.6089,0.0,46089.0,1
71,64,1582.6000000000001,816,24.728125000000002,4.0625,101286.40000000001,1
63,27,1272.48,819,47.12888888888889,5.666666666666667,34356.96,1
18,156,3018.63,2118,19.350192307692307,2.25,470906.28,1
35,126,2409.9,1263,19.126190476190477,0.7857142857142857,303647.4,1
45,85,1635.6599999999999,1394,19.24305882352941,0.0,139031.09999999998,1
118,59,1108.65,1178,18.790677966101697,2.406779661016949,65410.350000000006,1
302,5,84.3,11,16.86,0.0,421.5,1
322,11,225.6,94,20.509090909090908,0.0,2481.6,1
49,5,427.7,96,85.53999999999999,0.0,2138.5,1
148,54,1710.39,857,31.67388888888889,0.0,92361.06000000001,1
21,105,3415.3,1818,32.52666666666667,1.5333333333333334,358606.5,1
49,77,1708.1200000000001,1416,22.183376623376624,2.779220779220779,131525.24000000002,1
32,105,2888.55,1409,27.51,2.1619047619047618,303297.75,1
78,109,11072.67,5551,101.58412844036697,0.944954128440367,1206921.03,1
308,26,693.3299999999999,211,26.666538461538458,0.0,18026.579999999998,1
74,61,1226.88,829,20.112786885245903,1.540983606557377,74839.68000000001,1
66,38,758.1,286,19.95,7.105263157894737,28807.8,1
216,18,562.41,300,31.244999999999997,5.166666666666667,10123.38,1
23,714,124914.53,77374,174.95032212885152,0.438375350140056,89188974.42,1
2,192,3649.1,1552,19.005729166666665,1.84375,700627.2,1
112,34,668.58,407,19.664117647058823,0.0,22731.72,1
63,29,600.39,345,20.70310344827586,0.0,17411.31,1
15,45,807.04,484,17.93422222222222,6.733333333333333,36316.799999999996,1
95,39,803.5600000000001,370,20.604102564102565,5.871794871794871,31338.840000000004,1
0,125,1859.31,1339,14.87448,2.816,232413.75,1
162,30,1760.96,740,58.69866666666667,0.0,52828.8,1
77,36,777.2,496,21.58888888888889,0.0,27979.2,1
194,30,582.73,258,19.424333333333333,0.0,17481.9,1
21,31,825.8,533,26.638709677419353,11.258064516129032,25599.8,1
25,294,7956.46,3536,27.062789115646257,0.8741496598639455,2339199.24,1
8,97,3750.4,1557,38.66391752577319,3.670103092783505,363788.8,1
42,11,256.4,117,23.30909090909091,0.0,2820.3999999999996,1
35,235,6487.45,2906,27.606170212765957,1.4382978723404256,1524550.75,1
42,108,5059.32,1801,46.845555555555556,1.1944444444444444,546406.5599999999,1
0,420,13375.87,11071,31.847309523809525,0.8857142857142857,5617865.4,1
84,50,806.14,394,16.122799999999998,3.5,40307.0,1
79,36,7829.89,2055,217.49694444444447,5.222222222222222,281876.04000000004,1
99,16,509.01,211,31.813125,0.0,8144.16,1
1,199,4951.41,2922,24.88145728643216,1.6532663316582914,985330.59,1
13,98,2906.85,1180,29.66173469387755,1.2755102040816326,284871.3,1
366,11,173.55,121,15.77727272727273,0.0,1909.0500000000002,1
2,12,172.06,182,14.338333333333333,0.0,2064.7200000000003,1
20,176,5005.46,1153,28.440113636363638,0.8465909090909091,880960.96,1
21,4,133.4,62,33.35,0.0,533.6,1
57,57,1002.3100000000001,351,17.584385964912283,0.0,57131.670000000006,1
242,26,476.49,190,18.326538461538462,0.0,12388.74,1
43,22,449.45,243,20.429545454545455,0.0,9887.9,1
21,191,4067.29,1553,21.294712041884818,0.8586387434554974,776852.39,1
155,8,197.88,128,24.735,2.125,1583.04,1
10,354,9035.52,6575,25.524067796610172,0.884180790960452,3198574.08,1
16,22,430.57,185,19.571363636363635,0.0,9472.539999999999,1
133,43,707.09,473,16.443953488372095,0.0,30404.870000000003,1
55,15,3528.34,1006,235.22266666666667,0.0,52925.100000000006,1
72,90,2466.86,2089,27.409555555555556,2.477777777777778,222017.40000000002,1
43,125,3181.04,1633,25.44832,1.68,397630.0,1
65,62,2363.23,843,38.11661290322581,2.774193548387097,146520.26,1
70,38,947.4,506,24.931578947368422,5.605263157894737,36001.2,1
93,35,826.88,287,23.62514285714286,1.7142857142857142,28940.8,1
